CSCE	102/1000	  Introduction to Computers and their Applications (3 cr.)
CSCE	106/1001	  Fundamentals of Computing I (3 cr.)
CSCE	110/1101	  Fundamentals of Computing II (3 cr.)
CSCE	000/1102	  Fundamentals of Computing II Lab (1 cr.)
CSCE	321/2202	  Analysis and Design of Algorithms (3 cr.)
CSCE	000/2203	  Analysis and Design of Algorithms Lab (1 cr.)
CSCE	230/2301	  Digital Design I (3 cr.)
CSCE	239L/2302	  Digital Design I Lab (1 cr.)
CSCE	231/2303	  Computer Organization and Assembly Language Programming (3 cr.)
CSCE	253/2501	  Fundamentals of Database Systems (3 cr.)
CSCE	201/2502	  Information Technology (3 cr.)
CSCE	315/3101	  Programming Language (1-3 cr.)
CSCE	316/3102	  Programming in Java (3 cr.)
CSCE	317/3103	  Object Oriented Programming (3 cr.)
CSCE	325/3104	  Concepts of Programming Languages (3 cr.)
CSCE	330/3301	  Computer Architecture (3 cr.)
CSCE	339L/3302	  Computer Architecture Lab (1 cr.)
CSCE	332/3303	  Fundamental Microelectronics (3 cr.)
CSCE	337/3304	  Digital Design II (3 cr.)
CSCE	333/3311	  Data and Computer Communications (3 cr.)
CSCE	435/3312	  Computer Networks (3 cr.)
CSCE	439L/3313	  Computer Networks Lab (1 cr.)
CSCE	345/3401	  Operating Systems (3 cr.)
CSCE	000/3402	  Operating Systems Lab (1 cr.)
CSCE	342/3421	  Fundamentals of Computing and Communication Systems (3 cr.)
CSCE	346/3422	  Introduction to Information Security (3 cr.)
CSCE	465/3601	  Artificial Intelligence (3 cr.)
CSCE	363/3611	  Digital Signal Processing (3 cr.)
CSCE	341/3701	  Software Engineering (3 cr.)
CSCE	447/4101	  Compiler Design (3 cr.)
CSCE	422/4201	  Theory of Computing (3 cr.)
CSCE	432/4301	  Embedded Systems (3 cr.)
CSCE	438L/4302	  Embedded Systems Lab (1 cr.)
CSCE	437/4313	  Local and Metropolitan Area Networks (3 cr.)
CSCE	436L/4314	  Local Area Networks Lab (1 cr.)
CSCE	445/4411	  Fundamentals of Distributed Systems (3 cr.)
CSCE	446/4421	  Computer Security (3 cr.)
CSCE	453/4501	  Database Systems (3 cr.)
CSCE	456/4502	  Design of Web-based Systems (3 cr.)
CSCE	401/4503	  Internet-based Information Systems (3 cr.)
CSCE	427/4602	  Introduction to Artificial Neural Networks (3 cr.)
CSCE	000/4603	  Fundamentals of Computer Vision (3 cr.)
CSCE	000/4604	  Practical Machine Deep Learning (3 cr.)
CSCE	455/4621	  Computer Graphics (3 cr.)
CSCE	441/4701	  Object-Oriented Analysis and Design (3 cr.)
CSCE	448/4702	  Secure Systems Engineering (3 cr.)
CSCE	495/4910	  Guided Studies in Computer Science and Engineering (1-3 cr.)
CSCE	485/4930	  Selected Topics in Computer Science and Engineering (1-3 cr.)
CSCE	490/4950	  Industrial Training (1 cr.)
CSCE	491/4980	  Senior Project I (1 cr.)
CSCE	492/4981	  Senior Project II (2 cr.)
CSCE	525/5221	  Algorithms and Complexity Theory (3 cr.)
CSCE	529/5222	  Design and Analysis of Parallel Algorithms (3 cr.)
CSCE	530/5231	  Advanced Processor Architecture (3 cr.)
CSCE	535/5232	  High Speed Networks (3 cr.)
CSCE	545/5241	  Distributed Systems (3 cr.)
CSCE	532/5242	  Parallel Computer Architecture (3 cr.)
CSCE	000/5243	  Information and System Security (3 cr.)
CSCE	000/5245	  Embedded Real-Time Systems (3 cr.)
CSCE	565/5261	  Advanced Artificial Intelligence (3 cr.)
CSCE	527/5262	  Neural Networks and Genetic Algorithms (3 cr.)
CSCE	561/5263	  Knowledge Engineering (3 cr.)
CSCE	569/5264	  Natural Language Processing and Machine Translation (3 cr.)
CSCE	564/5265	  Web Mining (3 cr.)
CSCE	567/5266	  Computer Vision (3 cr.)
CSCE	563/5267	  Digital Image Processing (3 cr.)
CSCE	555/5268	  Computer Graphics and Animation (3 cr.)
CSCE	000/5269	  Pattern Analysis (3 cr.)
CSCE	541/5271	  Advanced Software Engineering (3 cr.)
CSCE	543/5272	  Advanced Software Quality (3 cr.)
CSCE	000/5910	  Independent Studies in Computer Science and Engineering (1-3 cr.)
CSCE	585/5930	  Selected Topics in Computer Science and Engineering (3 cr.)
CSCE	590/5940	  Seminar (1 cr.)
CSCE	591/5980	  Capstone Project in Computing (3 cr.)
CSCE	599/5981	  Graduate Thesis (3 cr.)
CSCE	642/6231	  Mobile and Pervasive Computing (3 cr.)
CSCE	664/6261	  Advanced Data Mining (3 cr.)
CSCE	692/6930	  Advanced Selected Topics in Computer Science (3 cr.)
CSCE	699/6980	  Research Guidance Dissertation (3 cr.)
