catalog_year,course_code,course_department_id,plan_major_id,semester_number
2020,1001,2,1,1
2020,1122,3,1,1
2020,1011,4,1,1
2020,1012,4,1,1
2020,1010,5,1,1
2020,1010,6,1,1
2020,1101,2,1,2
2020,1102,2,1,2
2020,2123,3,1,2
2020,1021,4,1,2
2020,1022,4,1,2
2020,1020,5,1,2
2020,1020,7,1,2
2020,1020,8,1,2
2020,2301,2,1,3
2020,2302,2,1,3
2020,2131,3,1,3
2020,2211,4,1,3
2020,2213,4,1,3
2020,-2,1,1,3
2020,2100,9,1,3
2020,2202,2,1,4
2020,2203,2,1,4
2020,2303,2,1,4
2020,2132,3,1,4
2020,3211,3,1,4
2020,-3,1,1,4
2020,3104,2,1,5
2020,3301,2,1,5
2020,3302,2,1,5
2020,3223,3,1,5
2020,-10,1,1,5
2020,-5,1,1,5
2020,3701,2,1,6
2020,3401,2,1,6
2020,3402,2,1,6
2020,-10,1,1,6
2020,-10,1,1,6
2020,-10,1,1,6
2020,-8,1,1,6
2020,-4,1,1,6
2020,4201,2,1,7
2020,4950,2,1,7
2020,4980,2,1,7
2020,-10,1,1,7
2020,-10,1,1,7
2020,-9,1,1,7
2020,-9,1,1,7
2020,4101,2,1,8
2020,4981,2,1,8
2020,-10,1,1,8
2020,-6,1,1,8
2020,-9,1,1,8
