  ACCT 201/2001  ,  Financial Accounting (3 cr.),
    ACCT 202/2002  ,  Managerial Accounting (3 cr.),
    ACCT 301/3001  ,  Intermediate Accounting I (3 cr.),
    ACCT 302/3002  ,  Intermediate Accounting II (3 cr.),
    ACCT 303/3003  ,  Advanced Accounting (3 cr.),
    ACCT 304/3004  ,  Cost Accounting (3 cr.),
    ACCT 305/3005  ,  Auditing (3 cr.),
    ACCT 306/3006  ,  Principles of Taxation (3 cr.),
    ACCT 000/4000  ,  Automated Financial Accounting (3 cr.),
    ACCT 401/4001  ,  Contemporary Issues in Auditing and Forensic Accounting (3 cr.),
    ACCT 402/4002  ,  Special Topics in Tax Accounting (3 cr.),
    ACCT 403/4003  ,  Contemporary Issues in Financial Reporting (3 cr.),
    ACCT 470/4070  ,  Special Topics in Accounting (3 cr.),
    ACCT 475/4075  ,  Independent Study in Accounting (1-3 cr.),
    ACCT 501/5201  ,  Financial Reporting and Analysis (3 cr.),
    ACCT 502/5301  ,  Managerial Accounting for Decision Making (3 cr.),
    ACCT 570/5370  ,  Selected Topics in Accounting (3 cr.),
    ACCT 575/5375  ,  Independent Study in Accounting (1-3 cr.),
    AMST 000/1090  ,  What is America?,
    AMST 199/1099  ,  Selected Topics for Core Curriculum (3 cr.),
    AMST 299/2096  ,  Selected Topics for Core Curriculum (3 cr.),
    AMST 000/2190  ,  Is America Still a Superpower? (3 cr.),
    AMST 310/3010  ,  American Literature to 1900 (3 cr.),
    AMST 311/3011  ,  Modern American Literature (3 cr.),
    AMST 356/3016  ,  American Philosophy (3 cr.),
    AMST 301/3100  ,  The US and the World Economy (3 cr.),
    AMST 400/4001  ,  Selected Topics in American Studies (3 cr.),
    AMST 444/4444  ,  Media Law and Policy (3 cr.),
    ANTH 199/1099  ,  Selected Topics for Core Curriculum (3 cr.),
    ANTH 210/2005  ,  Arab Society (3 cr.),
    ANTH 000/2006  ,  Youth Cultures (3 cr.),
    ANTH 000/2007  ,  Anthropology of the Occupied: Palestine/ Israel (3 cr.),
    ANTH 299/2099  ,  Selected Topics for Core Curriculum (3 cr.),
    ANTH 202/2101  ,  Cultural Anthropology (3 cr.),
    ANTH 240/2201  ,  Introduction to Community Development (3 cr.),
    ANTH 302/3015  ,  Global Families: Kinship and Relatedness in Late Modernity (3 cr.),
    ANTH 303/3020  ,  Social Movements (3 cr.),
    ANTH 320/3040  ,"  States, Capital and Rural Lives (3 cr.)",
    ANTH 321/3045  ,  The Urban Experience (3 cr.),
    ANTH 332/3060  ,"  Social Constructions of Difference: Race, Class and Gender (3 cr.)",
    ANTH 341/3070  ,  Anthropology and Film (3 cr.),
    ANTH 352/3075  ,  Language in Culture (3 cr.),
    ANTH 360/3080  ,"  Gender, Sexuality and Social Change (3 cr.)",
    ANTH 370/3085  ,  Environmental Issues in Egypt (3 cr.),
    ANTH 372/3090  ,  Public Anthropology (3 cr.),
    ANTH 309/3102  ,  History of Social Theory (3 cr.),
    ANTH 311/3104  ,  Contemporary Anthropological Theory (3 cr.),
    ANTH 380/3105  ,  Fieldwork Methods (3 cr.),
    ANTH 340/3202  ,  Participatory Action Research in Community Settings (3 cr.),
    ANTH 312/3301  ,  Anthropologies of Middle East and North Africa (3 cr.),
    ANTH 382/3302  ,  Anthropologies of Africa (3 cr.),
    ANTH 384/3303  ,  Anthropologies of Latin America (3 cr.),
    ANTH 386/3304  ,  Anthropologies of Asia (3 cr.),
    ANTH 390/3305  ,  Selected People and Culture Areas (3 cr.),
    ANTH 407/4015  ,  Psychological Anthropology (3 cr.),
