year,majorTitle,coreCredits,concReqCredits,concElecCredits,collateralCredits,generalElecCredits,engCoreCredits
2016-2017,Computer Science (B.S),33,42,18,30,9,
2019-2020,Computer Engineering (B.S),33,59,15,,3,52
2018-2019,Computer Science (B.S),33,42,18,30,9,
2019-2020,Computer Science (B.S),33,42,18,30,9,
2016-2017,Computer Engineering (B.S),33,59,15,,9,52
2018-2019,Computer Engineering (B.S),33,59,15,,9,52
2020-2021,Computer Science (B.S),33,42,18,30,9,
2017-2018,Computer Engineering (B.S),33,59,15,,9,52
2020-2021,Computer Engineering (B.S),33,59,15,,3,52
2017-2018,Computer Science (B.S),33,42,18,30,9,
