courseCode,courseTitle,prefix,credits
-11,Maths Elective,XXXX,NULL
-10,Major Elective,XXXX,NULL
-9,General Elective,XXXX,NULL
-8,Arab World Studies II,XXXX,3
-7,Arab World Studies I,XXXX,3
-6,Core Capstone II,XXXX,3
-5,Core Capstone I,XXXX,3
-4,Humanities and Social Sciences,XXXX,3
-3,Global Studies,XXXX,3
-2,Pathways II: Cultural Explorations,XXXX,3
-1,Pathways I: Scientific Encounters,XXXX,3
2001,Financial Accounting,ACCT,3
2002,Managerial Accounting,ACCT,3
3001,Intermediate Accounting I,ACCT,3
3002,Intermediate Accounting II,ACCT,3
3003,Advanced Accounting,ACCT,3
3004,Cost Accounting,ACCT,3
3005,Auditing,ACCT,3
3006,Principles of Taxation,ACCT,3
4000,Automated Financial Accounting,ACCT,3
4001,Contemporary Issues in Auditing and Forensic Accounting,ACCT,3
4002,Special Topics in Tax Accounting,ACCT,3
4004,Financial Statement Analysis,ACCT,3
4005,Contemporary Issues in Financial Reporting,ACCT,3
4070,Special Topics in Accounting,ACCT,3
4075,Independent Study in Accounting,ACCT,NULL
5201,Financial Reporting and Analysis,ACCT,3
5211,Accounting for Managers,ACCT,1.5
5301,Managerial Accounting for Decision Making,ACCT,3
5370,Selected Topics in Accounting,ACCT,3
5375,Independent Study in Accounting,ACCT,NULL
1099,Selected Topics for Core Curriculum,AMST,3
2096,Selected Topics for Core Curriculum,AMST,3
2190,Is America Still a Superpower?,AMST,3
3010,American Literature to 1900,AMST,3
3011,Modern American Literature,AMST,3
3016,American Philosophy,AMST,3
3100,The US and the World Economy,AMST,3
4001,Selected Topics for Core Curriculum,AMST,3
4444,Media Law and Policy,AMST,3
1099,Selected Topics for Core Curriculum,ANTH,3
2005,Arab Society,ANTH,3
2006,Youth Cultures,ANTH,3
2007,Anthropology of the Occupied: Palestine/ Israel,ANTH,3
2099,Selected Topics for Core Curriculum,ANTH,3
2101,Cultural Anthropology,ANTH,3
2201,Introduction to Community Development,ANTH,3
3015,Global Families: Kinship and Relatedness in Late Modernity,ANTH,3
3020,Social Movements,ANTH,3
3040,"States, Capital and Rural Lives",ANTH,3
3045,The Urban Experience,ANTH,3
3060,"Social Constructions of Difference: Race, Class and Gender",ANTH,3
3070,Anthropology and Film,ANTH,3
3075,Language in Culture,ANTH,3
3080,"Gender, Sexuality and Social Change",ANTH,3
3085,Environmental Issues in Egypt,ANTH,3
3090,Public Anthropology,ANTH,3
3102,History of Social Theory,ANTH,3
3104,Contemporary Anthropological Theory,ANTH,3
3105,Fieldwork Methods,ANTH,3
3202,Participatory Action Research in Community Settings,ANTH,3
3301,Anthropologies of Middle East and North Africa,ANTH,3
3302,Anthropologies of Africa,ANTH,3
3303,Anthropologies of Latin America,ANTH,3
3304,Anthropologies of Asia,ANTH,3
3305,Selected People and Culture Areas,ANTH,3
4015,Psychological Anthropology,ANTH,3
4020,Anthropology of Violence,ANTH,3
4025,Religion in a Global World,ANTH,3
4030,"Women, Islam and the State",ANTH,3
4050,Critical Approaches to Development,ANTH,3
4055,Seminar in African Studies,ANTH,3
4065,"Culture, Economy and the Everyday",ANTH,3
4070,Political Anthropology,ANTH,3
4075,Migrants and Transnationals,ANTH,3
4099,Selected Topics in Anthropology,ANTH,3
4107,Senior Seminar,ANTH,3
4203,Practicum in Community Development,ANTH,3
4405,Independent Study,ANTH,NULL
4499,Selected Topics in Coptic Studies,ANTH,3
4560,Development Studies Seminar,ANTH,3
5100,Methods of TESOL I,APLN,3
5101,The Phonetics of Arabic,APLN,3
5102,The Linguistics of Arabic,APLN,3
5103,Advanced Arabic Grammar,APLN,3
5104,Second Language Acquisition,APLN,3
5105,English Grammar,APLN,3
5111,Language Variation and Change,APLN,3
5124,Introduction to Computational Linguistics,APLN,3
5132,Language and Politics,APLN,3
5201,Principles of Linguistic Analysis,APLN,3
5202,Second Language Acquisition,APLN,3
5203,Methods of Teaching a Foreign Language I,APLN,3
5204,Methods of Teaching Arabic to Non-native Speakers II,APLN,3
5205,Sociolinguistics,APLN,3
5206,Seminar on Challenges Facing AFL Teachers,APLN,3
5210,Computer Assisted Language Learning (CALL)/Computer Operations Techniques,APLN,3
5270,Selected Topics in Applied Linguistics,APLN,NULL
5271,Supervised Study in TAFL,APLN,3
5298,Comprehensives,APLN,0
5299,Research Guidance and Thesis,APLN,0
5301,Principles of Linguistic Analysis,APLN,3
5302,Research Methods in Applied Linguistics,APLN,3
5305,Assessment in Language Learning,APLN,3
5310,Computer Assisted Language Learning (CALL),APLN,3
5311,Thesis Proposal Writing,APLN,3
5312,Second Language Reading and Writing: Theory and Practice,APLN,3
5313,Second Language Listening and Speaking: Theory and Practice,APLN,3
5320,English Syntax,APLN,3
5321,Corpus Linguistics,APLN,3
1099,Selected Topics for the Core Curriculum,EDUC,3
2011,Education and Society,EDUC,3
2021,Fundamentals of Teaching and Learning,EDUC,3
2099,Selected Topics in Core Curriculum,EDUC,3
3011,Educating Children and Youth for a Sustainable Future,EDUC,3
3021,Educational Assessment and Instructional Design,EDUC,3
3031,"Education, Civil Society and International Development",EDUC,3
4031,Gender and Education,EDUC,3
4098,Selected Topics for Core Curriculum,EDUC,3
5201,Foundations of Educational Research,EDUC,3
5202,Social Foundations of Education,EDUC,3
5203,Introduction to International & Comparative Education,EDUC,3
5204,Human Development & Learning Theory,EDUC,3
5205,Foundations of Instructional Practice,EDUC,3
5211,"Globalization, Development, and Educational Reform in the Arab World",EDUC,3
5212,"Comparative Gender, Adolescent, Youth, and Human Development Policy",EDUC,3
5213,Educational Evaluation & Assessment,EDUC,3
5214,Human Rights-based Education,EDUC,3
5215,Educational Policy Analysis,EDUC,3
5216,Research-Based Comparative Approaches to Educational Reform,EDUC,3
5217,Strategic Educational Planning and Development,EDUC,3
5221,Transformational Education,EDUC,3
5222,School Governance and Management,EDUC,3
5223,Organizational Theory and Educational Institutions,EDUC,3
5224,Research-based Instructional Leadership,EDUC,3
5231,Online and Blended Learning Design and Instruction in Developing Countries,EDUC,3
5232,"Literacy, Learning and Education",EDUC,3
5233,Action Research,EDUC,3
5234,Reaching Diverse and Underserved Learners,EDUC,3
5236,Education for Sustainable Development,EDUC,3
5238,Programs and Environments for Inclusive Education,EDUC,3
5241,Pedagogy & Theory of Modern Teaching & Learning in Higher Education,EDUC,3
5242,Theories of Student Development in Higher Education,EDUC,3
5243,Policy and Administration in Higher Education,EDUC,3
5259,Selected Topics in International & Comparative Education,EDUC,3
5265,Applied Projects in Inclusive Education,EDUC,3
5281,Supervised Fieldwork,EDUC,3
5282,Independent Study in International & Comparative Education,EDUC,3
5288,Comprehensive Exam,EDUC,1
5293,Capstone Project,EDUC,3
5299,Research Guidance and Thesis,EDUC,2
1099,Selected Topics for the Core Curriculum,EGPT,3
2020,Ancient Egypt: An Introduction,EGPT,3
2030,Introduction to Egyptian Architecture,EGPT,3
2099,Selected Topics for Core Curriculum,EGPT,3
2210,Introduction to Archaeology,EGPT,3
2250,Ancient Egyptian Literature in Translation,EGPT,3
2251,Hieroglyphics I,EGPT,3
2252,Hieroglyphics II,EGPT,3
3010,"Temples, Tombs and Hieroglyphs",EGPT,3
3201,Art and Architecture of Ancient Egypt I,EGPT,3
3202,Art and Architecture of Ancient Egypt II,EGPT,3
3211,History of Ancient Egypt I: Pre-Dynastic Through Middle Kingdom Egypt,EGPT,3
3212,History of Ancient Egypt II: Middle Kingdom through Ptolemaic Egypt,EGPT,3
4030,Independent Study in Egyptology,EGPT,NULL
4040,Ancient Egyptian Religion and Ethics,EGPT,3
5030,Independent Study and Guided Readings,EGPT,3
5100,Culture and Society of Ancient Egypt,EGPT,3
5100,Culture and Society of Ancient Egypt,EGPT,3
5110,Egypt in the First Millennium BC,EGPT,3
5111,Egyptomania,EGPT,3
5120,Graeco-Roman Egypt,EGPT,3
5120,History of Egypt in the Graeco-Roman Era,EGPT,3
5130,"Art, Societies, and Cultures of the Ancient Near East",EGPT,3
5130,Societies and Culture of the Ancient Near East,EGPT,3
5140,Societies and Cultures of Ancient Nubia,EGPT,3
5140,Societies and Cultures of Ancient Nubia,EGPT,3
5150,Introduction to Coptic,EGPT,3
5150,Introduction to Coptic,EGPT,3
5151,Hieroglyphics III,EGPT,3
5151,Hieroglyphics III,EGPT,3
5152,Introduction to Hieratic,EGPT,3
5153,Hieroglyphics IV,EGPT,3
5153,Hieroglyphics IV,EGPT,3
5154,Late Egyptian,EGPT,3
5160,Selected Topics in Coptic Studies,EGPT,3
5160,Selected Topics in Coptic Studies,EGPT,3
5170,Selected Topics in Cultural Resource Management and Museology,EGPT,3
5170,Selected Topics in Cultural Resource Management and Museology,EGPT,3
5180,Advanced Method and Theory: Archaeological and Historical,EGPT,3
5191,Field Work,EGPT,3
5191,Field Work,EGPT,3
5199,Selected Topics in Ancient Egyptian Art and Culture,EGPT,3
5199,Selected Topics in Egyptology,EGPT,3
5220,Ancient Egyptian Religion and Ethics,EGPT,3
5230,Settlement and Daily Life in Ancient Egypt,EGPT,3
5240,Death and Burial in Ancient Egypt,EGPT,3
5310,Classical Art and Archaeology,EGPT,3
5320,The Romano-Byzantine World and Egypt,EGPT,3
5330,Coptic Art and Architecture,EGPT,3
5420,Material Culture: Looking at Artifacts in Context,EGPT,3
5430,Site Analysis,EGPT,3
5440,The Iconography of Ancient Egypt,EGPT,3
5510,Advanced Hieratic,EGPT,3
5520,Introduction to Demotic,EGPT,3
5530,Ptolemaic Hieroglyphs,EGPT,3
5540,Advanced Coptic Texts,EGPT,3
5550,Advanced Readings in Ancient Egyptian Religion Texts,EGPT,3
5560,Advanced Readings in Historical Literature from the Old Kingdom to the Late Period,EGPT,3
5991,Research Seminar: Research Design and Writing,EGPT,3
5292,Advanced Topics in Construction Engineering,CENG,3
6211,Structural Stability,CENG,3
6212,Structural Dynamics,CENG,3
6213,Earthquake Engineering and Seismic Design,CENG,3
6222,Specialty Materials for Construction,CENG,3
6223,"Preserving, Repair and Sustainability of Structures",CENG,3
6231,Highways Pavement Systems and Design,CENG,3
6290,Research Guidance Dissertation,CENG,3
6291,Independent Study in Structural and Material Engineering,CENG,3
6292,Advanced Selected Topics in Structural and Material Engineering,CENG,3
1010,Freshman Seminar,CORE,3
1099,Selected Topics for Core Curriculum,CORE,3
1130,The Human Spirit,CORE,3
1140,Community Matters,CORE,3
2096,Selected Topics for the Core Curriculum in Global Studies,CORE,3
2097,Selected Topics for The Arab World,CORE,3
2098,Selected Topics on Egypt,CORE,3
2099,Selected Topics for Core Curriculum,CORE,3
