majorTitle,catalogYear,courseCode,prefix,semesterNumber
Computer Engineering (B.S),2016-2017,1001,CSCE,1
Computer Engineering (B.S),2016-2017,1121,MACT,1
Computer Engineering (B.S),2016-2017,1001,ENGR,1
Computer Engineering (B.S),2016-2017,1005,ENGR,1
Computer Engineering (B.S),2016-2017,1011,PHYS,1
Computer Engineering (B.S),2016-2017,1012,PHYS,1
Computer Engineering (B.S),2016-2017,1010,RHET,1
Computer Engineering (B.S),2016-2017,1010,CORE,1
Computer Engineering (B.S),2016-2017,1101,CSCE,2
Computer Engineering (B.S),2016-2017,1005,CHEM,2
Computer Engineering (B.S),2016-2017,1015,CHEM,2
Computer Engineering (B.S),2016-2017,1021,PHYS,2
Computer Engineering (B.S),2016-2017,1022,PHYS,2
Computer Engineering (B.S),2016-2017,1122,MACT,2
Computer Engineering (B.S),2016-2017,1020,RHET,2
Computer Engineering (B.S),2016-2017,1020,LALT,2
Computer Engineering (B.S),2016-2017,2201,CSCE,3
Computer Engineering (B.S),2016-2017,2301,CSCE,4
Computer Engineering (B.S),2016-2017,2102,ENGR,3
Computer Engineering (B.S),2016-2017,2211,PHYS,3
Computer Engineering (B.S),2016-2017,2213,PHYS,3
Computer Engineering (B.S),2016-2017,2131,MACT,3
Computer Engineering (B.S),2016-2017,1020,SCI,3
Computer Engineering (B.S),2016-2017,2303,CSCE,4
Computer Engineering (B.S),2016-2017,2202,CSCE,4
Computer Engineering (B.S),2016-2017,2203,CSCE,4
Computer Engineering (B.S),2016-2017,3303,CSCE,4
Computer Engineering (B.S),2016-2017,2100,PHIL,4
Computer Engineering (B.S),2016-2017,-2,XXXX,4
Computer Engineering (B.S),2016-2017,2501,CSCE,5
Computer Engineering (B.S),2016-2017,3301,CSCE,5
Computer Engineering (B.S),2016-2017,3701,CSCE,5
Computer Engineering (B.S),2016-2017,3302,CSCE,5
Computer Engineering (B.S),2016-2017,2123,MACT,5
Computer Engineering (B.S),2016-2017,-3,XXXX,5
Computer Engineering (B.S),2016-2017,3304,CSCE,6
Computer Engineering (B.S),2016-2017,3611,CSCE,6
Computer Engineering (B.S),2016-2017,3401,CSCE,6
Computer Engineering (B.S),2016-2017,2141,MACT,6
Computer Engineering (B.S),2016-2017,2104,ENGR,6
Computer Engineering (B.S),2016-2017,-4,XXXX,6
Computer Engineering (B.S),2016-2017,4411,CSCE,7
Computer Engineering (B.S),2016-2017,3312,CSCE,7
Computer Engineering (B.S),2016-2017,3313,CSCE,7
Computer Engineering (B.S),2016-2017,3202,ENGR,7
Computer Engineering (B.S),2016-2017,3224,MACT,7
Computer Engineering (B.S),2016-2017,-7,XXXX,7
Computer Engineering (B.S),2016-2017,4301,CSCE,8
Computer Engineering (B.S),2016-2017,4302,CSCE,8
Computer Engineering (B.S),2016-2017,-10,XXXX,8
Computer Engineering (B.S),2016-2017,-10,XXXX,8
Computer Engineering (B.S),2016-2017,2132,MACT,8
Computer Engineering (B.S),2016-2017,-8,XXXX,8
Computer Engineering (B.S),2016-2017,4950,CSCE,9
Computer Engineering (B.S),2016-2017,4980,CSCE,9
Computer Engineering (B.S),2016-2017,-10,XXXX,9
Computer Engineering (B.S),2016-2017,-10,XXXX,9
Computer Engineering (B.S),2016-2017,3222,ENGR,9
Computer Engineering (B.S),2016-2017,3322,ENGR,9
Computer Engineering (B.S),2016-2017,4981,CSCE,10
Computer Engineering (B.S),2016-2017,-10,XXXX,10
Computer Engineering (B.S),2016-2017,3201,MGMT,10
Computer Engineering (B.S),2016-2017,-6,XXXX,10
Computer Engineering (B.S),2016-2017,-9,XXXX,10
