majorTitle,prefix,courseCode,semesterNumber,catalogYear
Computer Engineering (B.S),CSCE,1001,1,2021-2022
Computer Engineering (B.S),ENGR,1001,1,2021-2022
Computer Engineering (B.S),PHYS,1011,1,2021-2022
Computer Engineering (B.S),PHYS,1012,1,2021-2022
Computer Engineering (B.S),RHET,1010,1,2021-2022
Computer Engineering (B.S),CORE,1010,1,2021-2022
Computer Engineering (B.S),SCI,1020,1,2021-2022
Computer Engineering (B.S),CSCE,1101,2,2021-2022
Computer Engineering (B.S),CSCE,1102,2,2021-2022
Computer Engineering (B.S),CHEM,1005,2,2021-2022
Computer Engineering (B.S),CHEM,1015,2,2021-2022
Computer Engineering (B.S),PHYS,1021,2,2021-2022
Computer Engineering (B.S),PHYS,1022,2,2021-2022
Computer Engineering (B.S),MACT,1122,2,2021-2022
Computer Engineering (B.S),RHET,1020,2,2021-2022
Computer Engineering (B.S),LALT,1020,2,2021-2022
Computer Engineering (B.S),CSCE,2202,3,2021-2022
Computer Engineering (B.S),CSCE,2203,3,2021-2022
Computer Engineering (B.S),PHYS,2211,3,2021-2022
Computer Engineering (B.S),PHYS,2213,3,2021-2022
Computer Engineering (B.S),MACT,2131,3,2021-2022
Computer Engineering (B.S),MACT,2123,3,2021-2022
Computer Engineering (B.S),PHIL,2100,3,2021-2022
Computer Engineering (B.S),CSCE,2301,4,2021-2022
Computer Engineering (B.S),CSCE,2302,4,2021-2022
Computer Engineering (B.S),CSCE,2501,4,2021-2022
Computer Engineering (B.S),XXXX,-10,4,2021-2022
Computer Engineering (B.S),ENGR,1005,4,2021-2022
Computer Engineering (B.S),MACT,2132,4,2021-2022
Computer Engineering (B.S),XXXX,-2,4,2021-2022
Computer Engineering (B.S),CSCE,2303,5,2021-2022
Computer Engineering (B.S),CSCE,3303,5,2021-2022
Computer Engineering (B.S),CSCE,3701,5,2021-2022
Computer Engineering (B.S),MACT,2141,5,2021-2022
Computer Engineering (B.S),ENGR,2102,5,2021-2022
Computer Engineering (B.S),XXXX,-3,5,2021-2022
Computer Engineering (B.S),CSCE,3301,6,2021-2022
Computer Engineering (B.S),CSCE,3302,6,2021-2022
Computer Engineering (B.S),CSCE,3401,6,2021-2022
Computer Engineering (B.S),CSCE,3402,6,2021-2022
Computer Engineering (B.S),CSCE,3611,6,2021-2022
Computer Engineering (B.S),MACT,3211,6,2021-2022
Computer Engineering (B.S),XXXX,-4,6,2021-2022
Computer Engineering (B.S),CSCE,3304,7,2021-2022
Computer Engineering (B.S),CSCE,3312,7,2021-2022
Computer Engineering (B.S),CSCE,3313,7,2021-2022
Computer Engineering (B.S),CSCE,4411,7,2021-2022
Computer Engineering (B.S),MACT,3223,7,2021-2022
Computer Engineering (B.S),XXXX,-7,7,2021-2022
Computer Engineering (B.S),CSCE,4301,8,2021-2022
Computer Engineering (B.S),CSCE,4302,8,2021-2022
Computer Engineering (B.S),XXXX,-10,8,2021-2022
Computer Engineering (B.S),XXXX,-10,8,2021-2022
Computer Engineering (B.S),ENGR,2104,8,2021-2022
Computer Engineering (B.S),XXXX,-8,8,2021-2022
Computer Engineering (B.S),CSCE,4950,9,2021-2022
Computer Engineering (B.S),CSCE,4980,9,2021-2022
Computer Engineering (B.S),XXXX,-10,9,2021-2022
Computer Engineering (B.S),XXXX,-10,9,2021-2022
Computer Engineering (B.S),XXXX,-10,9,2021-2022
Computer Engineering (B.S),ENGR,3202,9,2021-2022
Computer Engineering (B.S),CSCE,4981,10,2021-2022
Computer Engineering (B.S),XXXX,-6,10,2021-2022
Computer Engineering (B.S),XXXX,-9,10,2021-2022
Computer Engineering (B.S),ENGR,3222,10,2021-2022
Computer Science (B.S),MACT,1121,1,2021-2022
