majorTitle,catalogYear,courseCode,prefix,semesterNumber
Computer Science (B.S),2016-2017,1001,CSCE,1
Computer Science (B.S),2016-2017,1011,PHYS,1
Computer Science (B.S),2016-2017,1012,PHYS,1
Computer Science (B.S),2016-2017,1122,MACT,1
Computer Science (B.S),2016-2017,1010,RHET,1
Computer Science (B.S),2016-2017,1010,CORE,1
Computer Science (B.S),2016-2017,1101,CSCE,2
Computer Science (B.S),2016-2017,1102,CSCE,2
Computer Science (B.S),2016-2017,1021,PHYS,2
Computer Science (B.S),2016-2017,1022,PHYS,2
Computer Science (B.S),2016-2017,2123,MACT,2
Computer Science (B.S),2016-2017,1020,RHET,2
Computer Science (B.S),2016-2017,1020,SCI,2
Computer Science (B.S),2016-2017,1020,LALT,2
Computer Science (B.S),2016-2017,2211,PHYS,3
Computer Science (B.S),2016-2017,2213,PHYS,3
Computer Science (B.S),2016-2017,-2,XXXX,3
Computer Science (B.S),2016-2017,2100,PHIL,3
Computer Science (B.S),2016-2017,-11,MACT,3
Computer Science (B.S),2016-2017,2301,CSCE,4
Computer Science (B.S),2016-2017,2302,CSCE,4
Computer Science (B.S),2016-2017,2131,MACT,4
Computer Science (B.S),2016-2017,-10,XXXX,4
Computer Science (B.S),2016-2017,-3,XXXX,4
Computer Science (B.S),2016-2017,2303,CSCE,4
Computer Science (B.S),2016-2017,2202,CSCE,5
Computer Science (B.S),2016-2017,2203,CSCE,5
Computer Science (B.S),2016-2017,3104,CSCE,5
Computer Science (B.S),2016-2017,3301,CSCE,5
Computer Science (B.S),2016-2017,3302,CSCE,5
Computer Science (B.S),2016-2017,-10,XXXX,5
Computer Science (B.S),2016-2017,3224,MACT,5
Computer Science (B.S),2016-2017,-7,XXXX,5
Computer Science (B.S),2016-2017,2132,MACT,6
Computer Science (B.S),2016-2017,3701,CSCE,6
Computer Science (B.S),2016-2017,3401,CSCE,6
Computer Science (B.S),2016-2017,3402,CSCE,6
Computer Science (B.S),2016-2017,-10,XXXX,6
Computer Science (B.S),2016-2017,-8,XXXX,6
Computer Science (B.S),2016-2017,-4,XXXX,6
Computer Science (B.S),2016-2017,4201,CSCE,7
Computer Science (B.S),2016-2017,4950,CSCE,7
Computer Science (B.S),2016-2017,4980,CSCE,7
Computer Science (B.S),2016-2017,-10,XXXX,7
Computer Science (B.S),2016-2017,-10,XXXX,7
Computer Science (B.S),2016-2017,-9,XXXX,7
Computer Science (B.S),2016-2017,-9,XXXX,7
Computer Science (B.S),2016-2017,4101,CSCE,8
Computer Science (B.S),2016-2017,4981,CSCE,8
Computer Science (B.S),2016-2017,-10,XXXX,8
Computer Science (B.S),2016-2017,-6,XXXX,8
Computer Science (B.S),2016-2017,-9,XXXX,8
