majorTitle,catalogYear,courseCode,prefix,semesterNumber
"Computer Engineering (B.S)",2019-2020,1001,CSCE,1
"Computer Engineering (B.S)",2019-2020,1001,ENGR,1
"Computer Engineering (B.S)",2019-2020,1005,ENGR,1
"Computer Engineering (B.S)",2019-2020,1011,PHYS,1
"Computer Engineering (B.S)",2019-2020,1012,PHYS,1
"Computer Engineering (B.S)",2019-2020,1010,RHET,1
"Computer Engineering (B.S)",2019-2020,1010,CORE,1
"Computer Engineering (B.S)",2019-2020,1101,CSCE,2
"Computer Engineering (B.S)",2019-2020,1102,CSCE,2
"Computer Engineering (B.S)",2019-2020,1005,CHEM,2
"Computer Engineering (B.S)",2019-2020,1015,CHEM,2
"Computer Engineering (B.S)",2019-2020,1021,PHYS,2
"Computer Engineering (B.S)",2019-2020,1022,PHYS,2
"Computer Engineering (B.S)",2019-2020,1122,MACT,2
"Computer Engineering (B.S)",2019-2020,1020,RHET,2
"Computer Engineering (B.S)",2019-2020,1020,LALT,2
"Computer Engineering (B.S)",2019-2020,2202,CSCE,3
"Computer Engineering (B.S)",2019-2020,2203,CSCE,3
"Computer Engineering (B.S)",2019-2020,2102,ENGR,3
"Computer Engineering (B.S)",2019-2020,2211,PHYS,3
"Computer Engineering (B.S)",2019-2020,2213,PHYS,3
"Computer Engineering (B.S)",2019-2020,2131,MACT,3
"Computer Engineering (B.S)",2019-2020,1020,SCI,3
"Computer Engineering (B.S)",2019-2020,2501,CSCE,4
"Computer Engineering (B.S)",2019-2020,2301,CSCE,4
"Computer Engineering (B.S)",2019-2020,2302,CSCE,4
"Computer Engineering (B.S)",2019-2020,3303,CSCE,4
"Computer Engineering (B.S)",2019-2020,2100,PHIL,4
"Computer Engineering (B.S)",2019-2020,-2,XXXX,4
"Computer Engineering (B.S)",2019-2020,2303,CSCE,5
"Computer Engineering (B.S)",2019-2020,3304,CSCE,5
"Computer Engineering (B.S)",2019-2020,3701,CSCE,5
"Computer Engineering (B.S)",2019-2020,3611,CSCE,5
"Computer Engineering (B.S)",2019-2020,2123,MACT,5
"Computer Engineering (B.S)",2019-2020,-3,XXXX,5
"Computer Engineering (B.S)",2019-2020,3301,CSCE,6
"Computer Engineering (B.S)",2019-2020,3302,CSCE,6
"Computer Engineering (B.S)",2019-2020,3401,CSCE,6
"Computer Engineering (B.S)",2019-2020,3402,CSCE,6
"Computer Engineering (B.S)",2019-2020,2132,MACT,6
"Computer Engineering (B.S)",2019-2020,2104,ENGR,6
"Computer Engineering (B.S)",2019-2020,-4,XXXX,6
"Computer Engineering (B.S)",2019-2020,4411,CSCE,7
"Computer Engineering (B.S)",2019-2020,3312,CSCE,7
"Computer Engineering (B.S)",2019-2020,3313,CSCE,7
"Computer Engineering (B.S)",2019-2020,2141,MACT,7
"Computer Engineering (B.S)",2019-2020,3224,MACT,7
"Computer Engineering (B.S)",2019-2020,-8,XXXX,7
"Computer Engineering (B.S)",2019-2020,4301,CSCE,8
"Computer Engineering (B.S)",2019-2020,4302,CSCE,8
"Computer Engineering (B.S)",2019-2020,-10,XXXX,8
"Computer Engineering (B.S)",2019-2020,-10,XXXX,8
"Computer Engineering (B.S)",2019-2020,3202,ENGR,8
"Computer Engineering (B.S)",2019-2020,-8,XXXX,8
"Computer Engineering (B.S)",2019-2020,4950,DSCI,9
"Computer Engineering (B.S)",2019-2020,4980,ARCH,9
"Computer Engineering (B.S)",2019-2020,-10,XXXX,9
"Computer Engineering (B.S)",2019-2020,-10,XXXX,9
"Computer Engineering (B.S)",2019-2020,3222,ENGR,9
"Computer Engineering (B.S)",2019-2020,3322,ENGR,9
"Computer Engineering (B.S)",2019-2020,4981,CSCE,10
"Computer Engineering (B.S)",2019-2020,-10,XXXX,10
"Computer Engineering (B.S)",2019-2020,3201,MGMT,10
"Computer Engineering (B.S)",2019-2020,-6,XXXX,10
"Computer Engineering (B.S)",2019-2020,-9,XXXX,10
"Computer Science (B.S)",2019-2020,1001,CSCE,1
"Computer Science (B.S)",2019-2020,1011,PHYS,1
"Computer Science (B.S)",2019-2020,1012,PHYS,1
"Computer Science (B.S)",2019-2020,1122,MACT,1
"Computer Science (B.S)",2019-2020,1010,RHET,1
"Computer Science (B.S)",2019-2020,1010,CORE,1
"Computer Science (B.S)",2019-2020,2301,CSCE,3
"Computer Science (B.S)",2019-2020,2302,CSCE,3
"Computer Science (B.S)",2019-2020,2211,PHYS,3
"Computer Science (B.S)",2019-2020,2213,PHYS,3
"Computer Science (B.S)",2019-2020,2131,MACT,3
"Computer Science (B.S)",2019-2020,-2,XXXX,3
"Computer Science (B.S)",2019-2020,2100,PHIL,3
"Computer Science (B.S)",2019-2020,3104,CSCE,5
"Computer Science (B.S)",2019-2020,3301,CSCE,5
"Computer Science (B.S)",2019-2020,3302,CSCE,5
"Computer Science (B.S)",2019-2020,-10,XXXX,5
"Computer Science (B.S)",2019-2020,3223,MACT,5
"Computer Science (B.S)",2019-2020,-8,XXXX,5
"Computer Science (B.S)",2019-2020,4201,CSCE,7
"Computer Science (B.S)",2019-2020,4950,DSCI,7
"Computer Science (B.S)",2019-2020,4980,ARCH,7
"Computer Science (B.S)",2019-2020,-10,XXXX,7
"Computer Science (B.S)",2019-2020,-10,XXXX,7
"Computer Science (B.S)",2019-2020,-9,XXXX,7
"Computer Science (B.S)",2019-2020,-9,XXXX,7
"Computer Science (B.S)",2019-2020,1101,CSCE,2
"Computer Science (B.S)",2019-2020,1102,CSCE,2
"Computer Science (B.S)",2019-2020,1021,PHYS,2
"Computer Science (B.S)",2019-2020,1022,PHYS,2
"Computer Science (B.S)",2019-2020,2123,MACT,2
"Computer Science (B.S)",2019-2020,1020,RHET,2
"Computer Science (B.S)",2019-2020,1020,SCI,2
"Computer Science (B.S)",2019-2020,1020,LALT,2
"Computer Science (B.S)",2019-2020,2202,CSCE,4
"Computer Science (B.S)",2019-2020,2203,CSCE,4
"Computer Science (B.S)",2019-2020,2303,CSCE,4
"Computer Science (B.S)",2019-2020,2132,MACT,4
"Computer Science (B.S)",2019-2020,3211,MACT,4
"Computer Science (B.S)",2019-2020,-3,XXXX,4
"Computer Science (B.S)",2019-2020,3701,CSCE,6
"Computer Science (B.S)",2019-2020,3401,CSCE,6
"Computer Science (B.S)",2019-2020,3402,CSCE,6
"Computer Science (B.S)",2019-2020,-10,XXXX,6
"Computer Science (B.S)",2019-2020,-10,XXXX,6
"Computer Science (B.S)",2019-2020,-8,XXXX,6
"Computer Science (B.S)",2019-2020,-4,XXXX,6
"Computer Science (B.S)",2019-2020,4101,CSCE,8
"Computer Science (B.S)",2019-2020,4981,CSCE,8
"Computer Science (B.S)",2019-2020,-10,XXXX,8
"Computer Science (B.S)",2019-2020,-6,XXXX,8
"Computer Science (B.S)",2019-2020,-9,XXXX,8
