setId,prefix,courseCode
2,CSCE,1101
3,CSCE,1102
4,CSCE,2202
5,CSCE,2203
6,CSCE,2301
7,CSCE,2303
8,CSCE,2303
9,CSCE,2302
10,CSCE,3104
11,CSCE,3301
12,CSCE,3302
13,CSCE,3701
14,CSCE,3401
15,CSCE,3402
16,CSCE,4201
17,CSCE,4101
18,CSCE,4950
19,CSCE,4980
20,CSCE,4981
21,CSCE,2501
22,CSCE,3101
23,CSCE,3102
24,CSCE,3103
25,CSCE,3311
26,CSCE,4602
27,CSCE,4301
28,CSCE,3303
29,CSCE,3304
30,CSCE,3312
31,CSCE,3611
32,CSCE,4314
33,CSCE,4313
34,CSCE,4302
35,CSCE,3313
36,CSCE,4701
37,CSCE,4411
38,CSCE,4421
39,CSCE,4702
40,CSCE,4501
41,CSCE,4621
42,CSCE,4502
43,CSCE,3601
44,CSCE,4603
45,CSCE,4930
46,CSCE,4930
47,CSCE,4910
48,MACT,2141
49,MACT,3143
50,MACT,3133
51,MACT,3133
52,MACT,3133
53,MACT,4212
54,MACT,4212
55,MACT,4135
56,MACT,4135
57,MACT,4135
58,CSCE,4604
59,MACT,4134
60,MACT,4134
61,MACT,1122
62,MACT,2131
63,MACT,2123
64,MACT,2132
65,MACT,3211
66,MACT,3223
67,PHYS,1011
68,PHYS,1021
69,PHYS,1012
70,PHYS,1022
71,PHYS,2211
72,PHYS,2211
73,PHYS,2213
74,CORE,1010
75,RHET,1010
76,RHET,1020
77,PHIL,2100
78,LALT,1020
79,ENGR,2104 
80,ENGR,3222 
81,ENGR,2102 
82,ENGR,3202
83,XXXX,-6
