studentId,prefix,courseCode,courseTitle
1,CSCE,1001,Fundamentals of Computing I
1,ENGL,210,Academic English for the Liberal Arts
1,MACT,1121,Calculus I
1,CORE,1010,Freshman Seminar: How Do We Know What is True?
1,CSCE,1101,Fundamentals of Computing II
1,CSCE,1102,Fundamentals of Computing II Lab
1,MACT,1122,Calculus II
1,PHYS,1011,"Physics 1: Classical Mechanics, Sound and Heat"
1,PHYS,1012,General Physics Laboratory
1,RHET,1010,Freshman Writing: How Do We Know What is True?
2,CORE,1010,Freshman Seminar: Imagining Exile
2,CSCE,1001,Fundamentals of Computing I
2,MACT,1121,Calculus I
2,PHYS,1011,"Classical Mechanics, Sound and Heat"
2,PHYS,1012,General Physics Laboratory
2,RHET,1010,Freshman Writing: Imagining Exile
2,ECON,2021,Introduction to Macroeconomics
2,LALT,1020,Libraries and Learning Technologies
2,MACT,1121,Calculus I
2,RHET,1020,Research Writing
2,SCI,1020,Scientific Thinking
2,ACCT,2001,Financial Accounting
2,DSCI,1411,Fundamentals of Data Science
2,ECON,2011,Introduction to Microeconomics
2,MACT,1122,Calculus II
2,PHIL,2100,Philosophical Thinking
3,ENGL,210,Academic Eng. for Liberal Arts
3,MACT,1121,Calculus I
3,PHYS,1011,"Classical Mech.,Sound & Heat"
3,PHYS,1012,General Physics Laboratory
3,CORE,1010,Freshman Seminar: Human Quest
3,CSCE,1001,Fundamentals of Computing I
3,MACT,1122,Calculus II
3,MACT,2131,Discrete Mathematics
3,RHET,1010,Freshman Writing: Human Quest
3,SCI,1020,Scientific Thinking
3,PHYS,1021,Electricity & Magnetism
3,PHYS,1022,General Physics Laboratory II
3,CSCE,1101,Fundamentals of Computing II
3,CSCE,1102,Fundamentals of Computing II Lab
3,EDUC,1099,Selected Topics for the Core Curriculum: Powerful Technologies for Learning and Teaching
3,LALT,1020,Libraries and Learning Technologies
3,MACT,2123,Calculus III
3,PHYS,2211,Introduction to Electronics
3,PHYS,2213,Electronics Lab for Computer Scientists & Computer Engineers
3,RHET,1020,Research Writing
4,ELIN,101,Intensive English- Intermed
4,CSCE,1001,Fundamentals of Computing I
