majorTitle,prefix,courseCode,courseTitle,semesterNumber,catalogYear
Computer Engineering (B.S),CSCE,1001,Fundamentals of Computing I,1,2021-2022
Computer Engineering (B.S),ENGR,1001,Introduction to Engineering,1,2021-2022
Computer Engineering (B.S),PHYS,1011,Classical Mechanics Sound and Heat,1,2021-2022
Computer Engineering (B.S),PHYS,1012,General Physics Laboratory I,1,2021-2022
Computer Engineering (B.S),RHET,1010,Freshman Writing,1,2021-2022
Computer Engineering (B.S),CORE,1010,Freshman Seminar,1,2021-2022
Computer Engineering (B.S),SCI,1020,Scientific Thinking,1,2021-2022
Computer Engineering (B.S),CSCE,1101,Fundamentals of Computing II,2,2021-2022
Computer Engineering (B.S),CSCE,1102,Fundamentals of Computing II Lab (1 cr.),2,2021-2022
Computer Engineering (B.S),CHEM,1005,General Chemistry I,2,2021-2022
Computer Engineering (B.S),CHEM,1015,General Chemistry Laboratory,2,2021-2022
Computer Engineering (B.S),PHYS,1021,Electricity and Magnetism,2,2021-2022
Computer Engineering (B.S),PHYS,1022,General Physics Laboratory II,2,2021-2022
Computer Engineering (B.S),MACT,1122,Calculus II,2,2021-2022
Computer Engineering (B.S),RHET,1020,Research Writing,2,2021-2022
Computer Engineering (B.S),LALT,1020,Libraries & Learning Technologies,2,2021-2022
Computer Engineering (B.S),CSCE,2202,Analysis & Design of Algorithms,3,2021-2022
Computer Engineering (B.S),CSCE,2203,Analysis & Design of Algorithms Lab,3,2021-2022
Computer Engineering (B.S),PHYS,2211,Introduction to Electronics,3,2021-2022
Computer Engineering (B.S),PHYS,2213,Electronics Lab for Computer Scientists & Computer Engineers,3,2021-2022
Computer Engineering (B.S),MACT,2131,Discrete Mathematics,3,2021-2022
Computer Engineering (B.S),MACT,2123,Calculus III,3,2021-2022
Computer Engineering (B.S),PHIL,2100,Philosophical Thinking,3,2021-2022
Computer Engineering (B.S),CSCE,2301,Digital  Design I,4,2021-2022
Computer Engineering (B.S),CSCE,2302,Digital  Design I Lab,4,2021-2022
Computer Engineering (B.S),CSCE,2501,Fundamentals of Database Systems,4,2021-2022
Computer Engineering (B.S),CSCE,-10,Concentration Elective 1,4,2021-2022
Computer Engineering (B.S),ENGR,1005,Descriptive Geometry and Engineering Drawing,4,2021-2022
Computer Engineering (B.S),MACT,2132,Linear Algebra,4,2021-2022
Computer Engineering (B.S),XXXX,-2,Pathways 2: Cultural Explorations,4,2021-2022
Computer Engineering (B.S),CSCE,2303,Computer Organization & Assembly Language Programming,5,2021-2022
Computer Engineering (B.S),CSCE,3303,Fundamental Microelectronics,5,2021-2022
Computer Engineering (B.S),CSCE,3701,Software Engineering,5,2021-2022
Computer Engineering (B.S),MACT,2141,Differential Equations,5,2021-2022
Computer Engineering (B.S),ENGR,2102,Engineering Mechanics I (Statics),5,2021-2022
Computer Engineering (B.S),XXXX,-3,Global Studies,5,2021-2022
Computer Engineering (B.S),CSCE,3301,Computer Architecture,6,2021-2022
Computer Engineering (B.S),CSCE,3302,Computer Architecture Lab,6,2021-2022
Computer Engineering (B.S),CSCE,3401,Operating Systems,6,2021-2022
Computer Engineering (B.S),CSCE,3402,Operating Systems Lab,6,2021-2022
Computer Engineering (B.S),CSCE,3611,Digital Signal Processing,6,2021-2022
Computer Engineering (B.S),MACT,3211,Applied Probability,6,2021-2022
Computer Engineering (B.S),XXXX,-4,Humanities/Social Sciences (Secondary Level),6,2021-2022
Computer Engineering (B.S),CSCE,3304,Digital Design II,7,2021-2022
Computer Engineering (B.S),CSCE,3312,Computer Networks ,7,2021-2022
Computer Engineering (B.S),CSCE,3313,Computer Networks Lab,7,2021-2022
Computer Engineering (B.S),CSCE,4411,Fundamentals of Distributed Systems,7,2021-2022
Computer Engineering (B.S),MACT,3223,Statistical Inference,7,2021-2022
Computer Engineering (B.S),XXXX,-7,Arab World Studies 1 (Generic Arab),7,2021-2022
Computer Engineering (B.S),CSCE,4301,Embedded Systems,8,2021-2022
Computer Engineering (B.S),CSCE,4302,Embedded Systems Lab,8,2021-2022
Computer Engineering (B.S),CSCE,-10,Concentration Elective 2,8,2021-2022
Computer Engineering (B.S),CSCE,-10,Concentration Elective 3,8,2021-2022
Computer Engineering (B.S),ENGR,2104,Engineering Mechanics II (Dynamics),8,2021-2022
Computer Engineering (B.S),XXXX,-8,Arab World Studies 2 (Egypt Category),8,2021-2022
Computer Engineering (B.S),CSCE,4950,Industrial Training,9,2021-2022
Computer Engineering (B.S),CSCE,4980,Senior Project I (Core Capstone I),9,2021-2022
Computer Engineering (B.S),CSCE,-10,Concentration Elective 4,9,2021-2022
Computer Engineering (B.S),CSCE,-10,Concentration Elective 5,9,2021-2022
Computer Engineering (B.S),CSCE,-10,Concentration Elective 6,9,2021-2022
Computer Engineering (B.S),ENGR,3202,Engineering Analysis and Computation I,9,2021-2022
Computer Engineering (B.S),CSCE,4981,Senior Project II (Core Capstone I),10,2021-2022
Computer Engineering (B.S),XXXX,-6,Core Capstone II,10,2021-2022
Computer Engineering (B.S),XXXX,-9,General Elective,10,2021-2022
Computer Engineering (B.S),ENGR,3222,Engineering Economy,10,2021-2022
